MPI_Init,MPI_Finalize,MPI_Comm_rank,MPI_Comm_size,MPI_Send,MPI_Bcast,MPI_Reduce,MPI_Recv
,,,,,,,
6.0,9.0,,,,,,
18.0,29.0,8.0,1.0,,,,
74.0,101.0,67.0,54.0,1.0,1.0,,
134.0,165.0,131.0,93.0,17.0,6.0,7.0,19.0
243.0,283.0,249.0,174.0,62.0,13.0,15.0,69.0
308.0,370.0,329.0,246.0,90.0,24.0,22.0,107.0
365.0,432.0,394.0,305.0,127.0,32.0,32.0,147.0
428.0,497.0,465.0,364.0,159.0,40.0,41.0,181.0
465.0,522.0,498.0,396.0,177.0,42.0,42.0,201.0
519.0,567.0,566.0,449.0,198.0,44.0,42.0,219.0
544.0,593.0,591.0,473.0,225.0,50.0,43.0,236.0
564.0,608.0,613.0,496.0,238.0,54.0,45.0,254.0
579.0,622.0,634.0,520.0,255.0,57.0,46.0,263.0
590.0,627.0,646.0,531.0,267.0,60.0,47.0,271.0
599.0,631.0,659.0,541.0,275.0,60.0,47.0,280.0
605.0,637.0,667.0,549.0,277.0,61.0,47.0,283.0
612.0,641.0,672.0,555.0,282.0,61.0,48.0,288.0
617.0,642.0,680.0,563.0,282.0,67.0,50.0,288.0
621.0,642.0,685.0,567.0,282.0,67.0,50.0,293.0
623.0,642.0,688.0,570.0,282.0,67.0,51.0,293.0
624.0,642.0,688.0,570.0,282.0,71.0,51.0,293.0
626.0,642.0,690.0,571.0,282.0,71.0,51.0,293.0
626.0,642.0,690.0,571.0,282.0,71.0,51.0,293.0
627.0,642.0,692.0,571.0,282.0,71.0,51.0,293.0
628.0,642.0,693.0,572.0,282.0,71.0,51.0,293.0
629.0,643.0,695.0,573.0,282.0,71.0,51.0,293.0
632.0,643.0,698.0,576.0,282.0,71.0,51.0,294.0
632.0,643.0,698.0,576.0,282.0,71.0,51.0,294.0
632.0,643.0,698.0,576.0,282.0,71.0,52.0,294.0
633.0,643.0,699.0,576.0,282.0,71.0,52.0,295.0
633.0,643.0,699.0,576.0,282.0,71.0,52.0,295.0
633.0,643.0,699.0,576.0,282.0,71.0,52.0,295.0
634.0,643.0,700.0,577.0,282.0,71.0,52.0,295.0
634.0,643.0,700.0,577.0,282.0,71.0,52.0,295.0
634.0,643.0,700.0,577.0,282.0,71.0,52.0,295.0
634.0,643.0,700.0,577.0,282.0,71.0,52.0,295.0
634.0,643.0,700.0,577.0,282.0,71.0,52.0,295.0
634.0,643.0,700.0,577.0,282.0,71.0,52.0,295.0
634.0,643.0,700.0,577.0,282.0,71.0,52.0,295.0
634.0,643.0,700.0,577.0,282.0,71.0,52.0,295.0
635.0,643.0,701.0,578.0,282.0,71.0,52.0,295.0
