MPI_Init,MPI_Finalize,MPI_Comm_rank,MPI_Comm_size,MPI_Send,MPI_Recv,MPI_Bcast,MPI_Reduce
,,,,,,,
8.0,9.0,,,,,,
25.0,30.0,8.0,1.0,,,,
90.0,108.0,72.0,56.0,1.0,1.0,1.0,1.0
163.0,176.0,143.0,99.0,20.0,20.0,7.0,10.0
287.0,300.0,264.0,197.0,73.0,74.0,14.0,19.0
367.0,395.0,349.0,271.0,104.0,114.0,27.0,27.0
437.0,461.0,422.0,336.0,144.0,160.0,37.0,37.0
509.0,529.0,496.0,401.0,186.0,197.0,47.0,47.0
551.0,556.0,533.0,437.0,207.0,221.0,52.0,50.0
608.0,604.0,605.0,502.0,232.0,240.0,54.0,50.0
637.0,631.0,637.0,530.0,263.0,259.0,63.0,51.0
658.0,647.0,659.0,553.0,281.0,278.0,69.0,53.0
675.0,662.0,681.0,578.0,299.0,291.0,74.0,54.0
687.0,668.0,693.0,589.0,311.0,302.0,78.0,56.0
697.0,672.0,707.0,599.0,319.0,311.0,78.0,56.0
704.0,679.0,715.0,607.0,323.0,315.0,79.0,57.0
711.0,684.0,721.0,613.0,328.0,321.0,79.0,58.0
716.0,687.0,729.0,621.0,331.0,321.0,85.0,60.0
721.0,687.0,734.0,626.0,331.0,326.0,85.0,60.0
723.0,687.0,737.0,629.0,331.0,326.0,85.0,61.0
724.0,687.0,737.0,629.0,331.0,326.0,90.0,61.0
726.0,687.0,739.0,630.0,331.0,326.0,90.0,61.0
727.0,687.0,740.0,631.0,331.0,326.0,90.0,61.0
728.0,687.0,742.0,631.0,331.0,326.0,90.0,61.0
729.0,687.0,743.0,632.0,331.0,326.0,90.0,61.0
730.0,688.0,745.0,633.0,331.0,326.0,90.0,61.0
733.0,688.0,748.0,636.0,331.0,327.0,90.0,61.0
733.0,688.0,748.0,636.0,331.0,327.0,90.0,61.0
734.0,688.0,748.0,636.0,331.0,327.0,90.0,62.0
735.0,688.0,749.0,637.0,331.0,328.0,90.0,62.0
735.0,688.0,749.0,637.0,331.0,328.0,90.0,62.0
735.0,688.0,749.0,637.0,331.0,328.0,90.0,62.0
736.0,688.0,750.0,638.0,331.0,328.0,90.0,62.0
736.0,688.0,750.0,638.0,331.0,328.0,90.0,62.0
736.0,688.0,750.0,638.0,331.0,328.0,90.0,62.0
736.0,688.0,750.0,638.0,331.0,328.0,90.0,62.0
736.0,688.0,750.0,638.0,331.0,328.0,90.0,62.0
736.0,688.0,750.0,638.0,331.0,328.0,90.0,62.0
736.0,688.0,750.0,638.0,331.0,328.0,90.0,62.0
736.0,688.0,750.0,638.0,331.0,328.0,90.0,62.0
737.0,688.0,751.0,639.0,331.0,328.0,90.0,62.0
